2G,3G,4G,Operateur,result_city
1,1,1,SFR,Roscoff
1,1,1,Bouygues,Roscoff
1,1,1,Orange,Saint-Pol-de-Léon
1,1,1,SFR,Saint-Pol-de-Léon
1,1,1,Bouygues,Saint-Pol-de-Léon
0,1,0,Free,Saint-Pol-de-Léon
0,1,0,Orange,Trégunc
1,1,0,Orange,Elliant
1,1,1,SFR,Elliant
1,1,1,Bouygues,Elliant
0,1,1,Free,Elliant
0,1,1,Orange,Roscoff
0,1,0,Free,Roscoff
1,1,0,Orange,Trégunc
0,1,0,Free,Trégunc
1,1,0,Orange,Melgven
1,1,1,SFR,Melgven
1,1,1,Bouygues,Melgven
0,1,1,Free,Melgven
1,1,1,Orange,Trégunc
0,1,1,Orange,Rosporden
1,1,1,SFR,Rosporden
1,1,1,Bouygues,Rosporden
1,1,0,Orange,Plounéour-Ménez
1,1,1,SFR,Plounéour-Ménez
1,1,1,Bouygues,Plounéour-Ménez
0,1,1,Free,Plounéour-Ménez
1,1,0,Orange,Carantec
1,1,1,SFR,Carantec
1,1,1,Bouygues,Carantec
1,1,0,Orange,Névez
1,1,0,Orange,Taulé
1,1,0,SFR,Taulé
1,1,0,Bouygues,Taulé
0,1,1,Free,Taulé
1,1,0,Orange,Coray
1,1,1,SFR,Coray
1,1,1,Bouygues,Coray
0,1,1,Free,Coray
1,1,1,Orange,Pleyber-Christ
1,1,1,SFR,Pleyber-Christ
1,1,1,Bouygues,Pleyber-Christ
0,1,1,Free,Pleyber-Christ
1,1,0,Orange,Sainte-Sčve
1,1,0,Bouygues,Sainte-Sčve
1,1,1,Orange,Châteauneuf-du-Faou
1,1,0,Orange,Locquénolé
1,1,0,SFR,Locquénolé
1,1,0,Bouygues,Locquénolé
0,1,0,Free,Locquénolé
1,1,1,Orange,Névez
1,1,1,SFR,Névez
1,1,1,Bouygues,Névez
1,1,1,Orange,Saint-Martin-des-Champs
0,1,0,Orange,Saint-Martin-des-Champs
1,1,0,Orange,Pont-Aven
1,1,1,Orange,Pont-Aven
1,1,1,SFR,Pont-Aven
1,1,1,Bouygues,Pont-Aven
0,1,1,Free,Pont-Aven
1,1,0,Orange,Morlaix
1,0,0,Bouygues,Morlaix
1,1,0,SFR,Morlaix
1,1,0,Bouygues,Morlaix
0,1,1,Free,Morlaix
1,1,1,Orange,Morlaix
1,1,1,SFR,Morlaix
1,1,1,Bouygues,Morlaix
1,1,1,Orange,Plourin-lčs-Morlaix
1,1,0,Orange,Landeleau
1,1,0,Orange,Riec-sur-Bélon
1,1,0,Orange,Plourin-lčs-Morlaix
0,0,1,SFR,Plourin-lčs-Morlaix
1,1,1,Bouygues,Plourin-lčs-Morlaix
1,1,1,Orange,Plougasnou
1,1,1,SFR,Plougasnou
1,1,0,Bouygues,Plougasnou
1,1,1,Bouygues,Plougasnou
1,1,1,Orange,Riec-sur-Bélon
1,1,0,Orange,Garlan
1,1,0,Orange,Plouyé
1,1,1,SFR,Plouyé
1,1,1,Bouygues,Plouyé
0,1,0,Free,Plouyé
1,1,0,Orange,Bannalec
1,1,1,SFR,Bannalec
1,1,1,Bouygues,Bannalec
1,1,0,Orange,Moëlan-sur-Mer
1,1,1,Orange,Scaër
1,1,1,SFR,Scaër
1,1,1,Bouygues,Scaër
0,1,1,Free,Scaër
1,1,0,Orange,Le Trévoux
1,0,0,Orange,Saint-Thurien
1,1,0,Orange,Plougonven
1,1,1,Orange,Moëlan-sur-Mer
1,1,1,SFR,Moëlan-sur-Mer
1,1,1,Bouygues,Moëlan-sur-Mer
1,1,0,Orange,Lanmeur
1,1,1,SFR,Lanmeur
1,1,1,Bouygues,Lanmeur
1,1,0,Orange,Cléden-Poher
1,1,0,Orange,Poullaouen
1,1,0,Orange,Plouigneau
1,1,0,SFR,Plouigneau
1,1,0,Orange,Clohars-Carnoët
1,1,0,SFR,Clohars-Carnoët
1,1,0,Bouygues,Clohars-Carnoët
1,1,0,Orange,Gourin
1,1,0,Orange,Saint-Hernin
1,1,0,SFR,Saint-Hernin
1,1,0,Bouygues,Saint-Hernin
0,1,0,Free,Saint-Hernin
1,1,0,Orange,Quimperlé
1,1,1,Orange,Quimperlé
1,1,1,SFR,Quimperlé
1,1,1,Bouygues,Quimperlé
1,1,1,Orange,Clohars-Carnoët
1,1,1,SFR,Clohars-Carnoët
1,1,1,Bouygues,Clohars-Carnoët
0,1,1,Free,Quimperlé
1,1,0,Orange,Guidel
0,1,1,Orange,Carhaix-Plouguer
1,1,0,Orange,Plestin-les-Grčves
0,0,1,SFR,Plestin-les-Grčves
1,1,1,Bouygues,Plestin-les-Grčves
0,1,1,Free,Plestin-les-Grčves
1,1,0,Orange,Querrien
1,1,1,SFR,Querrien
1,1,1,Bouygues,Querrien
0,1,1,Free,Querrien
1,1,1,Orange,Carhaix-Plouguer
1,1,0,Orange,Carhaix-Plouguer
1,1,0,SFR,Carhaix-Plouguer
1,1,0,Bouygues,Carhaix-Plouguer
1,1,0,Orange,Le Saint
1,1,0,Orange,Plouégat-Moysan
1,1,0,Orange,Tréméven
0,1,1,Free,Tréméven
1,1,0,Orange,Ploemeur
0,0,0,Orange,Carhaix-Plouguer
1,1,1,Bouygues,Carhaix-Plouguer
1,1,1,Orange,Guidel
1,1,1,SFR,Guidel
1,1,1,Bouygues,Guidel
0,1,0,Orange,Carhaix-Plouguer
1,1,1,Orange,Groix
1,1,0,SFR,Groix
1,1,1,Bouygues,Groix
1,1,1,Orange,Le Faouët
1,1,1,Orange,Trébeurden
1,1,0,Orange,Plourac'h
1,1,0,SFR,Plourac'h
1,1,0,Bouygues,Plourac'h
0,1,0,Free,Plourac'h
1,1,0,Orange,Plounérin
1,1,0,Orange,Trébeurden
1,1,1,SFR,Trébeurden
1,1,1,Bouygues,Trébeurden
1,1,0,Bouygues,Trébeurden
0,1,1,Free,Trébeurden
1,1,1,Orange,Ploemeur
1,1,0,Bouygues,Ploemeur
1,1,0,Orange,Trébrivan
1,1,0,Orange,Gestel
1,1,0,SFR,Gestel
1,1,1,Bouygues,Gestel
1,1,1,SFR,Ploemeur
1,1,1,Bouygues,Ploemeur
0,1,1,Free,Ploemeur
1,1,0,Orange,Arzano
1,1,0,Orange,Quéven
1,1,0,Orange,Carnoët
1,1,1,Orange,Quéven
1,1,1,SFR,Quéven
1,1,1,Bouygues,Quéven
0,1,1,Free,Quéven
1,1,0,Orange,La Chapelle-Neuve
1,1,0,SFR,La Chapelle-Neuve
1,1,0,Bouygues,La Chapelle-Neuve
0,1,0,Free,La Chapelle-Neuve
1,1,0,Orange,Paule
0,0,1,SFR,Paule
1,1,1,Bouygues,Paule
0,1,1,Free,Paule
0,1,0,SFR,Trébeurden
1,1,1,Orange,Larmor-Plage
1,1,0,Orange,Meslan
1,1,1,Orange,Lorient
1,1,1,SFR,Lorient
1,1,1,Bouygues,Lorient
0,1,1,Free,Lorient
1,1,0,Orange,Pont-Scorff
1,1,0,SFR,Pont-Scorff
1,1,1,Bouygues,Pont-Scorff
0,1,1,Free,Pont-Scorff
1,1,1,Orange,Plouaret
0,1,1,Free,Plouaret
1,1,0,Orange,Larmor-Plage
1,1,1,Orange,Pleumeur-Bodou
1,1,1,Orange,Trégastel
1,1,0,Orange,Cléguer
0,0,1,SFR,Trégastel
1,1,1,Bouygues,Trégastel
1,1,1,Orange,Lannion
0,1,0,SFR,Lannion
1,1,0,Orange,Port-Louis
1,1,1,SFR,Lannion
1,1,0,Bouygues,Lannion
1,1,1,Bouygues,Lannion
0,1,1,Free,Lannion
1,1,1,Orange,Lanester
0,1,1,Free,Lanester
1,1,0,Orange,Glomel
1,1,0,Orange,Lannion
0,0,1,SFR,Lannion
1,1,0,Orange,Locarn
1,1,0,SFR,Locarn
1,1,0,Bouygues,Locarn
0,1,0,Free,Locarn
1,1,0,Orange,Perros-Guirec
1,1,0,Orange,Caudan
0,1,1,Orange,Lanester
1,1,0,SFR,Lanester
1,1,1,Bouygues,Lanester
0,1,0,Free,Lanester
1,1,0,SFR,Perros-Guirec
1,1,0,Orange,Callac
1,1,1,SFR,Callac
1,1,1,Bouygues,Callac
1,1,1,SFR,Lanester
0,0,0,Orange,Riantec
1,1,1,SFR,Riantec
1,1,1,Bouygues,Riantec
0,1,1,Free,Riantec
1,1,0,Orange,Locmiquélic
1,1,0,Orange,Ploubezre
1,1,1,Orange,Perros-Guirec
1,1,0,Orange,Saint-Quay-Perros
1,1,1,SFR,Saint-Quay-Perros
1,1,1,Bouygues,Saint-Quay-Perros
1,1,0,Orange,Plounévez-Moëdec
1,1,0,Orange,Riantec
0,0,0,Orange,Lannion
0,1,0,Orange,Lannion
1,1,0,SFR,Lannion
1,1,0,Orange,Saint-Servais
1,1,0,SFR,Saint-Servais
1,1,0,Bouygues,Saint-Servais
0,1,0,Free,Saint-Servais
1,1,0,Orange,Lanester
1,0,0,Bouygues,Lanester
1,0,0,Bouygues,Caudan
0,1,0,Free,Caudan
1,1,1,Orange,Plouay
1,1,1,SFR,Plouay
1,1,1,Bouygues,Plouay
0,1,1,Free,Plouay
1,1,1,SFR,Perros-Guirec
1,1,0,Bouygues,Perros-Guirec
