2G,3G,4G,Operateur,lat,lng
1,1,0,Orange,48.29762025141455,-3.5063399756652025
1,1,0,Orange,47.80661533578293,-3.4408197214349614
1,1,0,Orange,47.7357703514608,-3.4282319360379847
1,1,0,Orange,48.78453580726148,-3.5568153088678414
1,1,0,Orange,47.89083457370619,-3.445309899213396
1,1,1,Orange,48.769326052240594,-3.5499715060889567
1,1,1,Orange,47.70988661046942,-3.4148140104157765
1,1,0,Orange,48.69242990547259,-3.5319302229521585
1,1,0,Orange,47.788477998806634,-3.4203827122286237
1,1,0,Orange,48.367027545013066,-3.490528722019826
1,1,1,Orange,47.78301810038184,-3.416868789269581
1,1,0,Orange,47.74253438268229,-3.4076830624040233
1,1,0,Orange,47.72554172253341,-3.4043500872950037
1,1,0,Orange,48.46411978336293,-3.493529624670205
1,1,0,Orange,48.215590166208706,-3.460540274330915
1,1,0,Orange,48.75519521462446,-3.524103978378433
1,1,1,Orange,48.5578556765764,-3.4978660717812136
1,1,1,Orange,47.707103426729596,-3.3893262447638053
1,1,0,Orange,47.97711203033267,-3.421261606214926
1,1,1,Orange,47.74297262591237,-3.3904523561477045
1,1,0,Orange,47.841608354394374,-3.4016245418795945
1,1,1,Orange,47.76434974454163,-3.390559629141748
1,1,1,Orange,48.610387797123096,-3.493048264640534
1,1,0,Orange,47.72614842472012,-3.384696001307761
1,1,0,Orange,47.780372726466005,-3.3901566820981555
1,1,1,Orange,48.786540705603315,-3.5098546239358903
1,1,1,Orange,48.83259737560015,-3.514375167085263
1,1,1,Orange,48.82841775924171,-3.5122525668366613
1,1,1,Orange,47.715959259337104,-3.375832169390235
1,1,1,Orange,47.74104221433644,-3.3757087166768622
1,1,0,Orange,47.85602588098359,-3.386299720395131
1,1,1,Orange,47.7558396353797,-3.372610186997912
1,1,1,Orange,47.73233551988084,-3.3677980693926197
1,1,1,Orange,47.73762412740668,-3.368016713371387
1,1,1,Orange,47.74899139981887,-3.368040047039243
1,1,1,Orange,48.80803178598685,-3.4972001542450695
1,1,1,Orange,48.745858439458914,-3.4885053689302166
1,1,1,Orange,47.75443713758751,-3.363550900317238
1,1,1,Orange,47.747431325972826,-3.3605430521688757
1,1,0,Orange,47.70829973776219,-3.3555015963690358
1,1,1,Orange,47.74578233912204,-3.3566640238416743
1,1,1,Orange,48.7258585105528,-3.475266864436909
1,1,1,Orange,47.7659901261523,-3.3578365659086384
1,1,0,Orange,48.253773108003564,-3.4124816741443715
1,1,0,Orange,48.77105343448447,-3.4729269534882654
1,1,0,Orange,48.31897205340737,-3.4163772856300225
1,1,1,Orange,48.76200742858469,-3.468840739517065
1,1,0,Orange,48.812732270260334,-3.4751467312614106
1,1,0,Orange,47.810918110282245,-3.3519051558524255
1,1,1,Orange,47.75991691105835,-3.3438122108917954
1,1,0,Orange,48.82566049496741,-3.4730386125162034
1,1,1,Orange,48.74459398664634,-3.4609614539577263
1,1,0,Orange,48.40269710795875,-3.418822253800486
1,1,1,Orange,47.76736177506599,-3.341232480183557
1,1,1,Orange,47.778346613393126,-3.3403069465133375
0,0,0,Orange,47.711157268337956,-3.332162326398004
0,1,1,Orange,47.7575592215356,-3.3366747282374023
1,1,1,Orange,48.731399571356185,-3.454319261822947
1,1,1,Orange,48.75731624266218,-3.455169161730727
1,1,0,Orange,47.724710892823744,-3.3294942975578383
1,1,1,Orange,47.75107702094032,-3.330827352307791
1,1,0,Orange,48.698346685158704,-3.4427578411399327
1,1,0,Orange,47.856835113960884,-3.3393476019666015
1,1,1,Orange,48.81045745490804,-3.4540146037066752
1,1,0,Orange,48.782034032692394,-3.450149897963673
1,1,0,Orange,48.544686031256866,-3.418110157550774
1,1,0,Orange,47.71557207698499,-3.3166724096445805
1,1,1,Orange,48.73496399011345,-3.4393173239257577
0,0,0,Orange,48.73528988721996,-3.4381297636457475
0,1,0,Orange,48.72501409472391,-3.4344054321734836
1,1,0,Orange,48.398867561768895,-3.393358741552013
1,1,0,Orange,48.80924240950955,-3.441936979973754
1,1,0,Orange,47.78857604790428,-3.316634467563737
1,1,1,Orange,47.92562521538514,-3.329326548886494
1,1,1,Orange,48.81817535818531,-3.4372630314448185
1,1,0,Orange,48.13064691521023,-3.3471434296334825
